source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221038,AAPL,2026-01-05,short,10,HOLD,-0.0769288575465098,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221054,AAPL,2026-01-05,short,10,HOLD,-0.0769288575465098,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,AAPL,2026-01-05,short,10,BUY,-0.0769288575465098,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2021-11-15,short,10,BUY,-0.0401704162356893,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221039,JNJ,2021-11-15,short,10,HOLD,-0.0401704162356893,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221055,JNJ,2021-11-15,short,10,HOLD,-0.0401704162356893,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2021-11-15,short,10,HOLD,-0.0401704162356893,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2022-01-17,short,10,BUY,0.0226210966314236,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221039,JNJ,2022-01-17,short,10,BUY,0.0226210966314236,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221055,JNJ,2022-01-17,short,10,HOLD,0.0226210966314236,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2022-01-17,short,10,HOLD,0.0226210966314236,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2022-02-28,short,10,BUY,0.0432641878190912,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221039,JNJ,2022-02-28,short,10,HOLD,0.0432641878190912,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221056,JNJ,2022-02-28,short,10,HOLD,0.0432641878190912,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2022-02-28,short,10,SELL,0.0432641878190912,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2022-09-26,short,10,BUY,-0.0319249820642745,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221040,JNJ,2022-09-26,short,10,SELL,-0.0319249820642745,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221056,JNJ,2022-09-26,short,10,HOLD,-0.0319249820642745,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2022-09-26,short,10,HOLD,-0.0319249820642745,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2023-05-15,short,10,BUY,-0.0251663048441909,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221040,JNJ,2023-05-15,short,10,BUY,-0.0251663048441909,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221057,JNJ,2023-05-15,short,10,HOLD,-0.0251663048441909,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2023-05-15,short,10,HOLD,-0.0251663048441909,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2023-10-30,short,10,BUY,0.0040807955020822,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221041,JNJ,2023-10-30,short,10,SELL,0.0040807955020822,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221057,JNJ,2023-10-30,short,10,BUY,0.0040807955020822,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2023-10-30,short,10,SELL,0.0040807955020822,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2024-12-02,short,10,BUY,-0.0707364430664104,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221041,JNJ,2024-12-02,short,10,SELL,-0.0707364430664104,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221057,JNJ,2024-12-02,short,10,HOLD,-0.0707364430664104,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2024-12-02,short,10,BUY,-0.0707364430664104,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2025-02-24,short,10,BUY,0.0241845852412565,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221041,JNJ,2025-02-24,short,10,BUY,0.0241845852412565,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221058,JNJ,2025-02-24,short,10,SELL,0.0241845852412565,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2025-02-24,short,10,SELL,0.0241845852412565,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2025-08-11,short,10,BUY,0.0264065975647132,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221042,JNJ,2025-08-11,short,10,BUY,0.0264065975647132,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221058,JNJ,2025-08-11,short,10,HOLD,0.0264065975647132,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2025-08-11,short,10,BUY,0.0264065975647132,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JNJ,2026-01-05,short,10,BUY,0.068033915723028,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221042,JNJ,2026-01-05,short,10,BUY,0.068033915723028,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221059,JNJ,2026-01-05,short,10,HOLD,0.068033915723028,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JNJ,2026-01-05,short,10,SELL,0.068033915723028,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2021-11-15,short,10,BUY,-0.0464096391798045,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221043,JPM,2021-11-15,short,10,BUY,-0.0464096391798045,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221059,JPM,2021-11-15,short,10,HOLD,-0.0464096391798045,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JPM,2021-11-15,short,10,SELL,-0.0464096391798045,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2022-01-17,short,10,BUY,-0.0007932910244786,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221043,JPM,2022-01-17,short,10,HOLD,-0.0007932910244786,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221059,JPM,2022-01-17,short,10,HOLD,-0.0007932910244786,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JPM,2022-01-17,short,10,HOLD,-0.0007932910244786,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2022-02-28,short,10,BUY,-0.0820167370817862,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221043,JPM,2022-02-28,short,10,SELL,-0.0820167370817862,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221059,JPM,2022-02-28,short,10,HOLD,-0.0820167370817862,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JPM,2022-02-28,short,10,HOLD,-0.0820167370817862,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2022-09-26,short,10,BUY,-0.008059363694233,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221043,JPM,2022-09-26,short,10,HOLD,-0.008059363694233,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221100,JPM,2022-09-26,short,10,HOLD,-0.008059363694233,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JPM,2022-09-26,short,10,BUY,-0.008059363694233,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2023-05-15,short,10,BUY,0.0164905110099714,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221044,JPM,2023-05-15,short,10,BUY,0.0164905110099714,1
baseline,rsi_14,baseline_recomputed,baseline,20260224_221100,JPM,2023-05-15,short,10,HOLD,0.0164905110099714,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JPM,2023-05-15,short,10,HOLD,0.0164905110099714,1
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2023-10-30,short,10,BUY,0.0608356066359288,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221044,JPM,2023-10-30,short,10,HOLD,0.0608356066359288,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221101,JPM,2023-10-30,short,10,BUY,0.0608356066359288,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JPM,2023-10-30,short,10,HOLD,0.0608356066359288,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2024-12-02,short,10,BUY,-0.0270862150653357,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221044,JPM,2024-12-02,short,10,BUY,-0.0270862150653357,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221101,JPM,2024-12-02,short,10,SELL,-0.0270862150653357,1
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JPM,2024-12-02,short,10,HOLD,-0.0270862150653357,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2025-02-24,short,10,BUY,-0.1114256017650193,0
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221045,JPM,2025-02-24,short,10,BUY,-0.1114256017650193,0
baseline,rsi_14,baseline_recomputed,baseline,20260224_221101,JPM,2025-02-24,short,10,HOLD,-0.1114256017650193,0
baseline,random_uniform,baseline_recomputed,baseline,20260224_221109,JPM,2025-02-24,short,10,BUY,-0.1114256017650193,0
baseline,buy_hold,baseline_recomputed,baseline,20260224_221035,JPM,2025-08-11,short,10,BUY,0.0184417119370808,1
baseline,sma_crossover,baseline_recomputed,baseline,20260224_221045,JPM,2025-08-11,short,10,BUY,0.0184417119370808,1
