source,strategy,run_file,run_tag,run_timestamp,ticker,simulated_date,horizon,k,action,k_return,correct,true_label,confidence_band
baseline,rsi_14,baseline_recomputed,baseline,20260305_153526,JPM,2025-11-10,short,10,HOLD,-0.05961059367685112,0,SELL,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153526,JPM,2025-11-10,short,10,SELL,-0.05961059367685112,1,SELL,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153526,JPM,2025-11-24,short,10,BUY,0.008422885881772634,1,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153527,JPM,2025-11-24,short,10,HOLD,0.008422885881772634,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153527,JPM,2025-11-24,short,10,HOLD,0.008422885881772634,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153527,JPM,2025-11-24,short,10,HOLD,0.008422885881772634,1,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153527,JPM,2025-12-08,short,10,BUY,0.024999173346352318,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153527,JPM,2025-12-08,short,10,HOLD,0.024999173346352318,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153528,JPM,2025-12-08,short,10,HOLD,0.024999173346352318,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153528,JPM,2025-12-08,short,10,BUY,0.024999173346352318,1,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153528,JPM,2025-12-22,short,10,BUY,0.016636127502402398,1,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153528,JPM,2025-12-22,short,10,BUY,0.016636127502402398,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153529,JPM,2025-12-22,short,10,HOLD,0.016636127502402398,1,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153529,JPM,2025-12-22,short,10,HOLD,0.016636127502402398,1,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153529,JPM,2026-01-19,short,10,BUY,0.04000137497449644,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153529,JPM,2026-01-19,short,10,BUY,0.04000137497449644,1,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153530,JPM,2026-01-19,short,10,HOLD,0.04000137497449644,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153530,JPM,2026-01-19,short,10,BUY,0.04000137497449644,1,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153530,JPM,2026-02-02,short,10,BUY,-0.0032777624378883033,0,HOLD,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153530,JPM,2026-02-02,short,10,HOLD,-0.0032777624378883033,1,HOLD,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153531,JPM,2026-02-02,short,10,BUY,-0.0032777624378883033,0,HOLD,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153531,JPM,2026-02-02,short,10,BUY,-0.0032777624378883033,0,HOLD,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153531,NVDA,2025-03-03,short,10,BUY,0.04805364437697779,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153531,NVDA,2025-03-03,short,10,SELL,0.04805364437697779,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153532,NVDA,2025-03-03,short,10,HOLD,0.04805364437697779,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153532,NVDA,2025-03-03,short,10,HOLD,0.04805364437697779,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153532,NVDA,2025-03-17,short,10,BUY,-0.0932820477888647,0,SELL,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153532,NVDA,2025-03-17,short,10,SELL,-0.0932820477888647,1,SELL,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153532,NVDA,2025-03-17,short,10,HOLD,-0.0932820477888647,0,SELL,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153532,NVDA,2025-03-17,short,10,BUY,-0.0932820477888647,0,SELL,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153532,NVDA,2025-03-31,short,10,BUY,0.021498408259378914,1,BUY,N/A
baseline,sma_crossover,baseline_recomputed,baseline,20260305_153533,NVDA,2025-03-31,short,10,SELL,0.021498408259378914,0,BUY,N/A
baseline,rsi_14,baseline_recomputed,baseline,20260305_153533,NVDA,2025-03-31,short,10,HOLD,0.021498408259378914,0,BUY,N/A
baseline,random_uniform,baseline_recomputed,baseline,20260305_153533,NVDA,2025-03-31,short,10,SELL,0.021498408259378914,0,BUY,N/A
baseline,buy_hold,baseline_recomputed,baseline,20260305_153533,NVDA,2025-04-14,short,10,BUY,-0.015265074649786086,0,HOLD,N/A
